2025-03-21T14:51:22.684210045Z stderr F I0321 14:51:22.683932       1 serving.go:386] Generated self-signed cert in-memory
2025-03-21T14:51:24.450265377Z stderr F W0321 14:51:24.449575       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2025-03-21T14:51:24.450305849Z stderr F W0321 14:51:24.449656       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2025-03-21T14:51:24.450310058Z stderr F W0321 14:51:24.449669       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
2025-03-21T14:51:24.450312429Z stderr F W0321 14:51:24.449678       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2025-03-21T14:51:24.498944656Z stderr F I0321 14:51:24.498621       1 server.go:166] "Starting Kubernetes Scheduler" version="v1.32.2"
2025-03-21T14:51:24.498973282Z stderr F I0321 14:51:24.498672       1 server.go:168] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2025-03-21T14:51:24.501457753Z stderr F I0321 14:51:24.501017       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2025-03-21T14:51:24.502125751Z stderr F I0321 14:51:24.501874       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2025-03-21T14:51:24.502158233Z stderr F I0321 14:51:24.502029       1 secure_serving.go:213] Serving securely on 127.0.0.1:10259
2025-03-21T14:51:24.502246929Z stderr F I0321 14:51:24.502104       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2025-03-21T14:51:24.503740365Z stderr F W0321 14:51:24.503520       1 reflector.go:569] runtime/asm_amd64.s:1700: failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
2025-03-21T14:51:24.503762381Z stderr F E0321 14:51:24.503599       1 reflector.go:166] "Unhandled Error" err="runtime/asm_amd64.s:1700: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: configmaps \"extension-apiserver-authentication\" is forbidden: User \"system:kube-scheduler\" cannot list resource \"configmaps\" in API group \"\" in the namespace \"kube-system\"" logger="UnhandledError"
2025-03-21T14:51:24.503951064Z stderr F W0321 14:51:24.503813       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.CSIStorageCapacity: csistoragecapacities.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csistoragecapacities" in API group "storage.k8s.io" at the cluster scope
2025-03-21T14:51:24.503989641Z stderr F E0321 14:51:24.503928       1 reflector.go:166] "Unhandled Error" err="k8s.io/client-go/informers/factory.go:160: Failed to watch *v1.CSIStorageCapacity: failed to list *v1.CSIStorageCapacity: csistoragecapacities.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csistoragecapacities\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError"
2025-03-21T14:51:24.504203419Z stderr F W0321 14:51:24.503949       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumeclaims" in API group "" at the cluster scope
2025-03-21T14:51:24.504218626Z stderr F W0321 14:51:24.504128       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csinodes" in API group "storage.k8s.io" at the cluster scope
2025-03-21T14:51:24.504238676Z stderr F E0321 14:51:24.504171       1 reflector.go:166] "Unhandled Error" err="k8s.io/client-go/informers/factory.go:160: Failed to watch *v1.CSINode: failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csinodes\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError"
2025-03-21T14:51:24.504241171Z stderr F W0321 14:51:24.503861       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.Namespace: namespaces is forbidden: User "system:kube-scheduler" cannot list resource "namespaces" in API group "" at the cluster scope
2025-03-21T14:51:24.504242758Z stderr F E0321 14:51:24.504191       1 reflector.go:166] "Unhandled Error" err="k8s.io/client-go/informers/factory.go:160: Failed to watch *v1.Namespace: failed to list *v1.Namespace: namespaces is forbidden: User \"system:kube-scheduler\" cannot list resource \"namespaces\" in API group \"\" at the cluster scope" logger="UnhandledError"
2025-03-21T14:51:24.504247965Z stderr F E0321 14:51:24.504119       1 reflector.go:166] "Unhandled Error" err="k8s.io/client-go/informers/factory.go:160: Failed to watch *v1.PersistentVolumeClaim: failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumeclaims\" in API group \"\" at the cluster scope" logger="UnhandledError"
2025-03-21T14:51:24.504250317Z stderr F W0321 14:51:24.503949       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.Node: nodes is forbidden: User "system:kube-scheduler" cannot list resource "nodes" in API group "" at the cluster scope
2025-03-21T14:51:24.504355539Z stderr F E0321 14:51:24.504231       1 reflector.go:166] "Unhandled Error" err="k8s.io/client-go/informers/factory.go:160: Failed to watch *v1.Node: failed to list *v1.Node: nodes is forbidden: User \"system:kube-scheduler\" cannot list resource \"nodes\" in API group \"\" at the cluster scope" logger="UnhandledError"
2025-03-21T14:51:24.504362216Z stderr F W0321 14:51:24.504265       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.Service: services is forbidden: User "system:kube-scheduler" cannot list resource "services" in API group "" at the cluster scope
