IMAGE                                           TAG                  IMAGE ID            SIZE
docker.io/kindest/kindnetd                      v20250214-acbabc1a   df3849d954c98       39MB
docker.io/kindest/local-path-helper             v20241212-8ac705d0   baa0d31514ee5       3.08MB
docker.io/kindest/local-path-provisioner        v20250214-acbabc1a   bbb6209cc873b       22.5MB
registry.k8s.io/coredns/coredns                 v1.11.3              c69fa2e9cbf5f       18.6MB
registry.k8s.io/etcd                            3.5.16-0             a9e7e6b294baf       57.7MB
registry.k8s.io/kube-apiserver-amd64            v1.32.2              85b7a174738ba       98.1MB
registry.k8s.io/kube-apiserver                  v1.32.2              85b7a174738ba       98.1MB
registry.k8s.io/kube-controller-manager-amd64   v1.32.2              b6a454c5a800d       90.8MB
registry.k8s.io/kube-controller-manager         v1.32.2              b6a454c5a800d       90.8MB
registry.k8s.io/kube-proxy-amd64                v1.32.2              f1332858868e1       95.3MB
registry.k8s.io/kube-proxy                      v1.32.2              f1332858868e1       95.3MB
registry.k8s.io/kube-scheduler-amd64            v1.32.2              d8e673e7c9983       70.6MB
registry.k8s.io/kube-scheduler                  v1.32.2              d8e673e7c9983       70.6MB
registry.k8s.io/pause                           3.10                 873ed75102791       320kB
